Input Size,Time to Sort,Stack Space used
1000,6.387,11996
2000,26.573,23996
3000,57.851,35996
4000,108.431,47996
5000,95.177,59996
6000,185.986,71996
7000,171.116,83996
8000,284.388,95996
9000,332.126,107996
10000,398.074,119996
11000,537.15,131996
12000,625.483,143996
13000,804.195,155996
14000,947.363,167996
15000,1043.928,179996
16000,1120.251,191996
17000,1227.952,203996
18000,1361.237,215996
19000,1503.226,227996
20000,1584.33,239996
21000,1844.499,251996
22000,2171.517,263996
23000,2145.65,275996
24000,2339.509,287996
25000,2488.17,299996
26000,2453.247,311996
27000,2817.302,323996
28000,2799.422,335996
29000,2923.217,347996
30000,3204.736,359996
